stock_id,stock_symbol,stock_name,stock_price,stock_marketcap,stock_sector
1,RXII,RXi Pharmaceuticals Corporation,"€606,34",$12.79M,Health Care
2,TURN,180 Degree Capital Corp.,"€175,32",$46.06M,Finance
3,DSWL,"Deswell Industries, Inc.","€143,92",$32.92M,Consumer Non-Durables
4,BBRY,BlackBerry Limited,"€286,54",$5.6B,Public Utilities
5,DMO,Western Asset Mortgage Defined Opportunity Fund Inc,"€211,23",$274.82M,n/a
6,SIEN,"Sientra, Inc.","€533,65",$154.26M,Health Care
7,SRRA,"Sierra Oncology, Inc.","€893,05",$59.59M,Health Care
8,AGZD,WisdomTree Barclays Interest Rate Hedged U.S. Aggregate Bond F,"€240,55",$23.97M,n/a
9,AGO,Assured Guaranty Ltd.,"€229,52",$5.11B,Finance
10,STO,Statoil ASA,"€666,38",$55.69B,Energy
11,PSTG,"Pure Storage, Inc. ","€645,16",$2.77B,Technology
12,PFE,"Pfizer, Inc.","€279,10",$196.76B,Health Care
13,WIN,"Windstream Holdings, Inc.","€782,88",$864.84M,Public Utilities
14,POPE,Pope Resources,"€168,09",$320.19M,Consumer Non-Durables
15,CGG,CGG,"€396,65",$117.97M,Energy
16,KWN,Kennedy-Wilson Holdings Inc.,"€911,63",n/a,Finance
17,CMG,"Chipotle Mexican Grill, Inc.","€673,27",$12.93B,Consumer Services
18,BG,Bunge Limited,"€300,17",$10.8B,Consumer Non-Durables
19,BRKS,"Brooks Automation, Inc.","€801,23",$1.73B,Technology
20,INVH,Invitation Homes Inc.,"€204,31",$6.59B,Finance
21,JACK,Jack In The Box Inc.,"€679,56",$3.13B,Consumer Services
22,HMTV,"Hemisphere Media Group, Inc.","€432,04",$484.37M,Consumer Services
23,SRE,Sempra Energy,"€216,96",$29.19B,Public Utilities
24,ALL^F,Allstate Corporation (The),"€604,59",n/a,n/a
25,VIAB,Viacom Inc.,"€323,36",$12.19B,Consumer Services
26,GES,"Guess?, Inc.","€143,39",$974.73M,Consumer Non-Durables
27,WATT,Energous Corporation,"€463,94",$324.08M,Technology
28,GBLIZ,Global Indemnity Limited,"€804,26",n/a,Finance
29,VSAT,"ViaSat, Inc.","€853,22",$3.9B,Technology
30,DCOM,"Dime Community Bancshares, Inc.","€950,65",$765.84M,Finance
31,MXIM,"Maxim Integrated Products, Inc.","€242,65",$13.07B,Technology
32,BUI,BlackRock Utility and Infrastructure Trust,"€759,45",$356.57M,n/a
33,FOE,Ferro Corporation,"€976,08",$1.52B,Basic Industries
34,WBS,Webster Financial Corporation,"€379,83",$4.88B,Finance
35,CAR,"Avis Budget Group, Inc.","€656,27",$1.84B,Consumer Services
36,WAGE,"WageWorks, Inc.","€962,77",$2.67B,Miscellaneous
37,BWFG,"Bankwell Financial Group, Inc.","€666,98",$250.29M,Finance
