1,Apple Inc.,AAPL,187.54,2850000000000,Technology,28
2,Microsoft Corporation,MSFT,426.98,3200000000000,Technology,36
3,Alphabet Inc.,GOOGL,176.42,2200000000000,Technology,25
4,Amazon.com Inc.,AMZN,183.72,1900000000000,Technology,64
5,Meta Platforms Inc.,META,494.16,1250000000000,Technology,30
6,NVIDIA Corporation,NVDA,943.55,2325000000000,Technology,72
7,Tesla Inc.,TSLA,183.75,585000000000,Technology,52
8,Johnson & Johnson,JNJ,148.62,358000000000,Health Care,19
9,UnitedHealth Group Inc.,UNH,484.36,445000000000,Health Care,22
10,Procter & Gamble Co.,PG,162.87,385000000000,Consumer Staples,26
11,JPMorgan Chase & Co.,JPM,194.45,562000000000,Financials,12
12,Visa Inc.,V,274.68,585000000000,Financials,30
13,Walmart Inc.,WMT,65.24,526000000000,Consumer Staples,23
14,Mastercard Inc.,MA,457.32,425000000000,Financials,35
15,Exxon Mobil Corporation,XOM,114.56,452000000000,Energy,14
16,Home Depot Inc.,HD,345.87,342000000000,Consumer Discretionary,25
17,Bank of America Corp.,BAC,38.74,302000000000,Financials,11
18,Chevron Corporation,CVX,152.34,282000000000,Energy,13
19,Coca-Cola Company,KO,61.43,265000000000,Consumer Staples,24
20,Pfizer Inc.,PFE,28.14,158000000000,Health Care,15
21,Merck & Co. Inc.,MRK,129.42,327000000000,Health Care,21
22,PepsiCo Inc.,PEP,172.41,236000000000,Consumer Staples,28
23,Abbott Laboratories,ABT,109.78,190000000000,Health Care,27
24,Verizon Communications Inc.,VZ,40.68,171000000000,Communication Services,9
25,AT&T Inc.,T,18.24,131000000000,Communication Services,8
26,Cisco Systems Inc.,CSCO,49.28,199000000000,Technology,15
27,Intel Corporation,INTC,31.47,133000000000,Technology,35
28,Adobe Inc.,ADBE,482.56,217000000000,Technology,42
29,Salesforce Inc.,CRM,271.41,262000000000,Technology,63
30,Netflix Inc.,NFLX,634.98,276000000000,Communication Services,44
31,PayPal Holdings Inc.,PYPL,66.87,71000000000,Financials,18
32,Advanced Micro Devices Inc.,AMD,162.24,263000000000,Technology,48
33,Qualcomm Inc.,QCOM,168.19,187000000000,Technology,22
34,Costco Wholesale Corporation,COST,886.85,393000000000,Consumer Staples,51
35,Eli Lilly and Company,LLY,873.43,830000000000,Health Care,119
